Airport,Date,Phase,N_Valid,SUM_TXT,SUM_REF,AVG_ADD_TIME
SBRF,2020-08,Arr,598,"1777,9","1056,7","1,29"
SBRF,2020-08,Dep,609,"7183,3","6350,9","1,91"
SBRF,2020-09,Arr,957,"2722,2","1635,4","1,19"
SBRF,2020-09,Dep,959,"11641,1","10048,6","2,14"
SBRF,2020-10,Arr,1902,"6285,8","3568,2","1,50"
SBRF,2020-10,Dep,1878,"22759,4","19500,1","2,14"
SBRF,2020-11,Arr,2117,"6912,7","3834,2","1,52"
SBRF,2020-11,Dep,2100,"25541,1","21935,7","2,20"
SBRF,2020-12,Arr,2664,"8326,9","4502,7","1,48"
SBRF,2020-12,Dep,2652,"34821,3","28008,7","3,01"
SBRF,2021-01,Arr,2947,"9924,1","4990,2","1,72"
SBRF,2021-01,Dep,2936,"38676,9","31068,4","3,03"
SBRF,2021-02,Arr,2340,"7948,7","4339,6","1,60"
SBRF,2021-02,Dep,2347,"29154,9","24362,5","2,52"
SBRF,2021-03,Arr,2395,"7499,6","4054,8","1,48"
SBRF,2021-03,Dep,2402,"28879,0","25308,6","2,10"
SBRF,2021-04,Arr,1855,"6292,7","3143,3","1,73"
SBRF,2021-04,Dep,1852,"22492,4","19520,2","2,15"
SBRF,2021-05,Arr,2159,"7174,3","3635,3","1,68"
SBRF,2021-05,Dep,2169,"27184,7","22905,8","2,43"
SBRF,2021-06,Arr,2452,"8083,9","4127,5","1,66"
SBRF,2021-06,Dep,2460,"30941,8","26000,3","2,49"
SBRF,2021-07,Arr,2997,"9855,9","5038,5","1,65"
SBRF,2021-07,Dep,2996,"40124,4","31711,4","3,20"
SBRF,2021-08,Arr,2887,"9163,9","4846,6","1,54"
SBRF,2021-08,Dep,2854,"37738,2","30218,2","3,01"
SBRF,2021-09,Arr,2798,"8292,7","4736,5","1,32"
SBRF,2021-09,Dep,2777,"36397,1","29372,5","2,93"
SBRF,2021-10,Arr,2735,"8891,2","4858,5","1,53"
SBRF,2021-10,Dep,2687,"35184,0","28086,8","2,97"
SBRF,2021-11,Arr,2876,"10646,7","5754,5","1,78"
SBRF,2021-11,Dep,2843,"35913,5","29014,4","2,75"
SBRF,2021-12,Arr,3355,"12260,7","6395,4","1,82"
SBRF,2021-12,Dep,3274,"42809,4","33766,4","3,06"
SBRF,2022-01,Arr,3185,"10962,7","5460,1","1,78"
SBRF,2022-01,Dep,3143,"41156,6","33101,0","2,91"
SBRF,2022-02,Arr,2635,"8891,5","4690,2","1,64"
SBRF,2022-02,Dep,2591,"33382,0","27142,1","2,78"
SBRF,2022-03,Arr,3147,"9979,5","5256,9","1,55"
SBRF,2022-03,Dep,3088,"42163,6","32678,2","3,39"
SBRF,2022-04,Arr,2958,"8991,7","4973,3","1,41"
SBRF,2022-04,Dep,2882,"37970,2","30417,6","2,96"
SBRJ,2019-01,Arr,3716,"15413,6","8978,2","1,86"
SBRJ,2019-01,Dep,3685,"41951,9","30561,1","3,52"
SBRJ,2019-02,Arr,3361,"14217,9","8150,4","1,93"
SBRJ,2019-02,Dep,3321,"38948,7","27563,9","3,82"
SBRJ,2019-03,Arr,3564,"15127,1","8697,8","1,92"
SBRJ,2019-03,Dep,3527,"44055,4","29310,4","4,48"
SBRJ,2019-04,Arr,3605,"15490,7","8847,6","1,96"
SBRJ,2019-04,Dep,3553,"43491,2","29530,6","4,20"
SBRJ,2019-05,Arr,3653,"14752,5","8996,5","1,69"
SBRJ,2019-05,Dep,3631,"45431,7","30112,5","4,44"
SBRJ,2019-06,Arr,3289,"11750,3","8239,6","1,20"
SBRJ,2019-06,Dep,3281,"39152,0","27132,9","3,83"
SBRJ,2019-07,Arr,3620,"12830,5","9073,1","1,17"
SBRJ,2019-07,Dep,3599,"41570,7","29691,5","3,46"
SBRJ,2019-08,Arr,2851,"16327,6","7002,8","3,41"
SBRJ,2019-08,Dep,2841,"32378,9","23471,7","3,86"
SBRJ,2019-09,Arr,1575,"5228,7","3488,3","1,22"
SBRJ,2019-09,Dep,1555,"17030,8","12404,1","3,20"
SBRJ,2019-10,Arr,4117,"20859,0","9548,3","2,86"
SBRJ,2019-10,Dep,4118,"46744,3","34290,0","3,59"
